1;2781.24;9.90;1571.49;small
2;829.53;12.10;250.90;big
2;877.98;17.60;252.06;big
2;946.34;16.30;242.63;big
2;856.89;18.80;247.92;small
3;1015.85;15.60;235.14;big
3;1054.18;23.10;227.15;big
3;1046.32;20.80;205.50;big
3;1086.31;15.70;203.03;big
3;1112.00;11.20;192.59;big
4;954.74;16.40;286.28;small
4;999.39;14.60;273.26;small
4;904.89;15.20;291.82;small
5;1156.59;11.30;178.57;small
6;980.32;11.20;213.84;small
7;626.25;18.80;243.83;big
7;698.86;16.80;246.69;big
7;664.56;18.20;245.37;small
8;562.30;18.60;239.63;big
8;513.05;21.40;222.86;big
8;463.04;15.60;181.30;small
8;496.75;20.60;194.15;small
9;563.71;16.30;282.39;small
9;664.33;15.90;291.24;small
9;608.25;12.80;289.32;small
10;575.17;11.20;211.97;small
11;471.95;12.20;216.97;small
